branch_junction_baseline;branch_junction_testimonium1;branch_junction_testimonium2;branch_junction_dataset
0xc74b558e9d82169c36d0da58559dd81c33d48f4be59048f04ecbb90256f3d599;0xc74b558e9d82169c36d0da58559dd81c33d48f4be59048f04ecbb90256f3d599;0xc74b558e9d82169c36d0da58559dd81c33d48f4be59048f04ecbb90256f3d599;0xc74b558e9d82169c36d0da58559dd81c33d48f4be59048f04ecbb90256f3d599
0x39f5aa217adefe47189276126e456d4059a05093ff5ddc870a96ff027978f6f9;0x39f5aa217adefe47189276126e456d4059a05093ff5ddc870a96ff027978f6f9;0x39f5aa217adefe47189276126e456d4059a05093ff5ddc870a96ff027978f6f9;0x39f5aa217adefe47189276126e456d4059a05093ff5ddc870a96ff027978f6f9
0x443457d06020b339656146777d09081cefc4b4d5775019d78a20f763c03aac25;0x443457d06020b339656146777d09081cefc4b4d5775019d78a20f763c03aac25;0x443457d06020b339656146777d09081cefc4b4d5775019d78a20f763c03aac25;0x443457d06020b339656146777d09081cefc4b4d5775019d78a20f763c03aac25
0xf1b775126cd503f3be5824918f623fd3ad0b69a87353306ee7b8d6d02f25a9c9;0xf1b775126cd503f3be5824918f623fd3ad0b69a87353306ee7b8d6d02f25a9c9;0xf1b775126cd503f3be5824918f623fd3ad0b69a87353306ee7b8d6d02f25a9c9;0xf1b775126cd503f3be5824918f623fd3ad0b69a87353306ee7b8d6d02f25a9c9
0x6240c4a46150ed83dedab597e06ffcd25ffa484fb092ff2916ddfcb632ecb651;0x6240c4a46150ed83dedab597e06ffcd25ffa484fb092ff2916ddfcb632ecb651;0x6240c4a46150ed83dedab597e06ffcd25ffa484fb092ff2916ddfcb632ecb651;0x6240c4a46150ed83dedab597e06ffcd25ffa484fb092ff2916ddfcb632ecb651
0xa3fed7d82e14a149d4f361e3d864ed808f5ec1941a55b454a12e167eea2ff32b;0xa3fed7d82e14a149d4f361e3d864ed808f5ec1941a55b454a12e167eea2ff32b;0xa3fed7d82e14a149d4f361e3d864ed808f5ec1941a55b454a12e167eea2ff32b;0xa3fed7d82e14a149d4f361e3d864ed808f5ec1941a55b454a12e167eea2ff32b
0xccb00cf6bc87c816fd1dd769a1efb23e763db1dfe20fd0326c2eaa19dfd5929b;0xccb00cf6bc87c816fd1dd769a1efb23e763db1dfe20fd0326c2eaa19dfd5929b;0xccb00cf6bc87c816fd1dd769a1efb23e763db1dfe20fd0326c2eaa19dfd5929b;0xccb00cf6bc87c816fd1dd769a1efb23e763db1dfe20fd0326c2eaa19dfd5929b
0x271cf2cf042d1da191b154389d443d9bacfa60dcc3e5b6d3e3f705cc988be148;0x271cf2cf042d1da191b154389d443d9bacfa60dcc3e5b6d3e3f705cc988be148;0x271cf2cf042d1da191b154389d443d9bacfa60dcc3e5b6d3e3f705cc988be148;0x271cf2cf042d1da191b154389d443d9bacfa60dcc3e5b6d3e3f705cc988be148
0x74269a065339cc5a74949baebdb9313992b030db84ac0a6a4ce9e2a7be95e397;0x74269a065339cc5a74949baebdb9313992b030db84ac0a6a4ce9e2a7be95e397;0x74269a065339cc5a74949baebdb9313992b030db84ac0a6a4ce9e2a7be95e397;0x74269a065339cc5a74949baebdb9313992b030db84ac0a6a4ce9e2a7be95e397
0xdcff3578f2bce9445b8e0bc32d74825540ae40faba61f14e882fcc59ffd80af4;0xdcff3578f2bce9445b8e0bc32d74825540ae40faba61f14e882fcc59ffd80af4;0xdcff3578f2bce9445b8e0bc32d74825540ae40faba61f14e882fcc59ffd80af4;0xdcff3578f2bce9445b8e0bc32d74825540ae40faba61f14e882fcc59ffd80af4
0x639fbab715215bb9d9ec5233ec59225c60c876599755beeda246eb6d9e9d7c5c;0x639fbab715215bb9d9ec5233ec59225c60c876599755beeda246eb6d9e9d7c5c;0x639fbab715215bb9d9ec5233ec59225c60c876599755beeda246eb6d9e9d7c5c;0x639fbab715215bb9d9ec5233ec59225c60c876599755beeda246eb6d9e9d7c5c
0x29401223383b667612533b101b6711d29ec3f71d358258d3854be84b4b66c375;0x29401223383b667612533b101b6711d29ec3f71d358258d3854be84b4b66c375;0x29401223383b667612533b101b6711d29ec3f71d358258d3854be84b4b66c375;0x29401223383b667612533b101b6711d29ec3f71d358258d3854be84b4b66c375
0x0fca3182bd1512f74ca4579a9b2f7b9d531bd38494136f462dc458d627eed1cb;0x0fca3182bd1512f74ca4579a9b2f7b9d531bd38494136f462dc458d627eed1cb;0x0fca3182bd1512f74ca4579a9b2f7b9d531bd38494136f462dc458d627eed1cb;0x0fca3182bd1512f74ca4579a9b2f7b9d531bd38494136f462dc458d627eed1cb
0xb8e87dad6a48d2c3fe5ebe56e40d9facec39cd5a7564d5cd33d202015b81d8c9;0xb8e87dad6a48d2c3fe5ebe56e40d9facec39cd5a7564d5cd33d202015b81d8c9;0xb8e87dad6a48d2c3fe5ebe56e40d9facec39cd5a7564d5cd33d202015b81d8c9;0xb8e87dad6a48d2c3fe5ebe56e40d9facec39cd5a7564d5cd33d202015b81d8c9
0x70df3cc7c7db9467d6722922ac409f43d0f16d56a25ed27a99ffb3664b5061a2;0x70df3cc7c7db9467d6722922ac409f43d0f16d56a25ed27a99ffb3664b5061a2;0x70df3cc7c7db9467d6722922ac409f43d0f16d56a25ed27a99ffb3664b5061a2;0x70df3cc7c7db9467d6722922ac409f43d0f16d56a25ed27a99ffb3664b5061a2
0x60163a1e8bbd0441688ed078bed6a62498b01c33a1207cfbba96de0f42085c9c;0x60163a1e8bbd0441688ed078bed6a62498b01c33a1207cfbba96de0f42085c9c;0x60163a1e8bbd0441688ed078bed6a62498b01c33a1207cfbba96de0f42085c9c;0x60163a1e8bbd0441688ed078bed6a62498b01c33a1207cfbba96de0f42085c9c
0x3a7f94d0a5260ba2079c5a3cbba25abb9ca379fc35b7c4f2db80cf371b7b168e;0x3a7f94d0a5260ba2079c5a3cbba25abb9ca379fc35b7c4f2db80cf371b7b168e;0x3a7f94d0a5260ba2079c5a3cbba25abb9ca379fc35b7c4f2db80cf371b7b168e;0x3a7f94d0a5260ba2079c5a3cbba25abb9ca379fc35b7c4f2db80cf371b7b168e
0x62f9637a325f6d19c136da1802e1f32b10b8d910bef528210ab83dad5de56b2c;0x62f9637a325f6d19c136da1802e1f32b10b8d910bef528210ab83dad5de56b2c;0x62f9637a325f6d19c136da1802e1f32b10b8d910bef528210ab83dad5de56b2c;0x62f9637a325f6d19c136da1802e1f32b10b8d910bef528210ab83dad5de56b2c
0x4aeb7ac84a477bcc16ed870d76c3c65a75e34c3ab6f75fd563ba3fe1736507c1;0x4aeb7ac84a477bcc16ed870d76c3c65a75e34c3ab6f75fd563ba3fe1736507c1;0x4aeb7ac84a477bcc16ed870d76c3c65a75e34c3ab6f75fd563ba3fe1736507c1;0x4aeb7ac84a477bcc16ed870d76c3c65a75e34c3ab6f75fd563ba3fe1736507c1
0xfdf8691ba7875347d78a79a4328e761e8490545cf11b29a65496a35a4ef0c590;0xfdf8691ba7875347d78a79a4328e761e8490545cf11b29a65496a35a4ef0c590;0xfdf8691ba7875347d78a79a4328e761e8490545cf11b29a65496a35a4ef0c590;0xfdf8691ba7875347d78a79a4328e761e8490545cf11b29a65496a35a4ef0c590
0x33a438876ae54bc20413848b1180d8bf22e0985f11922be6cbe9a2d43788ff03;0x33a438876ae54bc20413848b1180d8bf22e0985f11922be6cbe9a2d43788ff03;0x33a438876ae54bc20413848b1180d8bf22e0985f11922be6cbe9a2d43788ff03;0x33a438876ae54bc20413848b1180d8bf22e0985f11922be6cbe9a2d43788ff03
0x37d23ccb7dc47e439d88578f8767437340cd85d2ad262c4180ebbd7b65eb0c7b;0x37d23ccb7dc47e439d88578f8767437340cd85d2ad262c4180ebbd7b65eb0c7b;0x37d23ccb7dc47e439d88578f8767437340cd85d2ad262c4180ebbd7b65eb0c7b;0x37d23ccb7dc47e439d88578f8767437340cd85d2ad262c4180ebbd7b65eb0c7b
0x92324105a715031447d51d90128b7418d58c80e28dab57793559905e4441beba;0x92324105a715031447d51d90128b7418d58c80e28dab57793559905e4441beba;0x92324105a715031447d51d90128b7418d58c80e28dab57793559905e4441beba;0x92324105a715031447d51d90128b7418d58c80e28dab57793559905e4441beba
0x17f15897134ed756f7860514955554f0d0c3490a45cba3e98381544c4300d954;0x17f15897134ed756f7860514955554f0d0c3490a45cba3e98381544c4300d954;0x17f15897134ed756f7860514955554f0d0c3490a45cba3e98381544c4300d954;0x17f15897134ed756f7860514955554f0d0c3490a45cba3e98381544c4300d954
0xc4f2244b0ce3eb2e41873b02bc63e5d2f94ed07458ae64acb0457fe3207ccfca;0xc4f2244b0ce3eb2e41873b02bc63e5d2f94ed07458ae64acb0457fe3207ccfca;0xc4f2244b0ce3eb2e41873b02bc63e5d2f94ed07458ae64acb0457fe3207ccfca;0xc4f2244b0ce3eb2e41873b02bc63e5d2f94ed07458ae64acb0457fe3207ccfca
